Region Expected Observed Kov.Smoke
126 326 15.152116531 17 63
127 176 9.6173437532 11 64
128 324 14.541947909 14 94
129 325 19.360929888 36 83
130 323 9.3818679067 11 79
131 157 9.0032388125 23 73
132 444 8.7065743249 12 43
133 435 2.5866470079 1 49
134 450 10.518519988 3 39
135 456 4.4925438165 4 52
136 412 43.415532588 32 26
137 432 7.8240450246 7 31
138 463 5.179162119 2 49
139 457 7.9383601756 4 41
140 411 26.616327022 19 42
141 430 4.8625327305 4 39
142 431 7.1344562807 5 55
143 281 7.4936598219 6 43
144 439 5.9482716031 6 52
145 464 8.1904327829 6 50
146 416 10.661313566 12 67
147 452 5.4106513106 2 54
148 279 11.604436356 11 32
149 451 1.4472044966 0 47
150 320 10.896860169 10 39
151 294 9.5722543481 7 34
152 295 8.2206835566 7 28
153 284 4.0145501741 7 22
154 187 34.053405812 27 17
155 194 25.862461093 24 27
156 291 9.037177437 6 28
157 189 23.275465343 32 24
158 179 12.776680798 14 53
159 202 44.112661511 47 46
160 200 29.717826061 37 68
161 276 9.3207933144 9 47
162 290 9.1109710124 9 22
163 278 8.5708069106 9 31
164 271 7.0684712759 4 36
165 282 6.181215276 5 12
166 273 4.5145153405 2 36
167 173 12.184911219 20 61
168 170 7.3982034305 15 63
169 174 6.6383240957 9 45
170 177 7.6332221236 9 64
171 327 8.7811503188 9 65
172 161 11.388042303 20 74
173 421 5.9071237584 8 33
174 420 10.271312948 6 36
175 447 3.3496101676 4 47
176 428 10.228135708 5 22
177 446 10.590899371 7 44
178 424 10.514646825 5 32
179 438 5.9836878254 8 37
180 280 7.1998679553 5 46
181 434 6.2853596673 7 55
182 460 6.8743187311 7 53
183 520 5.2224902092 5 63
184 506 10.190396181 12 52
185 544 3.513430196 2 45
186 526 2.419325998 1 66
187 534 1.8199606607 0 48
188 289 14.846103371 15 25
189 191 14.692493154 17 18
190 190 8.2013435606 8 19
191 293 8.453004666 3 11
192 298 11.344118753 8 35
193 201 12.365586378 12 33
194 130 8.9269965541 10 48
195 124 23.541357391 23 54
196 275 9.9537396112 10 32
197 303 7.59848725 4 30
198 297 5.82797138 9 22
199 277 8.1233640486 3 36
200 539 5.3195503409 4 43
201 159 8.9272864412 12 74
202 172 9.5657334542 11 54
203 166 16.051392646 21 52
204 158 10.52955314 12 70
205 149 14.615744271 27 73
206 150 8.8988461479 21 65
207 123 26.62928625 31 57
208 459 4.0350859888 4 55
209 441 5.0686474745 3 26
210 440 8.0841147139 7 72
211 437 3.4569598586 5 47
212 453 8.0461577734 7 53
213 427 8.3531016824 7 45
214 454 4.9216731751 4 21
215 433 3.2678833315 4 49
216 81 20.855935211 20 78
217 529 3.3903532173 3 62
218 533 5.0442775471 6 70
219 536 2.9397864311 2 47
220 510 9.291810034 9 60
221 518 5.3849891669 5 54
222 531 4.5650552936 2 46
223 540 2.7446999293 1 49
224 192 12.020221139 10 19
225 307 12.293536234 18 11
226 120 13.143326003 19 51
227 304 10.387902767 12 18
228 125 23.2785573 22 47
229 296 5.9904500873 9 45
230 126 21.921636547 33 58
231 302 7.242366309 3 35
232 306 9.6108789916 2 3
233 508 3.8401756105 2 33
234 523 5.665716979 3 55
235 522 4.9582857676 4 46
236 160 6.0245877909 7 68
237 151 6.0735435245 10 60
238 180 15.137352332 13 50
239 154 9.2185189222 14 58
240 129 19.423437759 21 34
241 132 16.041685834 10 43
242 348 3.3343377691 3 52
243 331 8.0819176152 4 26
244 369 3.6150257607 5 53
245 368 9.8008288739 14 50
246 332 3.5937298078 5 67
247 449 4.4290567617 5 49
248 338 4.6993022797 5 38
249 436 5.760409599 4 47
250 422 7.5676978786 6 56
251 461 4.5714818337 4 37
252 414 46.32734024 39 45
253 86 22.313591787 37 81
254 85 27.491531555 31 89
255 147 11.923102464 19 60
256 88 15.6776163 14 74
257 87 37.307844814 46 76
258 82 26.410862771 25 50
259 83 87.666812062 84 77
260 74 16.270842393 17 87
261 84 15.725516643 14 67
262 532 5.9980765694 6 52
263 507 8.0959167395 6 40
264 509 5.120402549 3 57
265 486 2.5349462415 1 54
266 516 2.9259303417 2 60
267 478 1.6960405649 3 46
268 524 2.8966576716 2 55
269 505 16.304714755 5 49
270 485 4.7961100454 4 54
271 305 11.490269265 10 40
272 131 28.840545546 23 48
273 299 14.027188646 18 35
274 122 11.111438458 13 66
275 121 61.442236229 76 57
276 301 7.4409642432 11 29
277 300 10.022310104 12 27
278 541 4.1177302656 2 45
279 512 5.5591380209 3 35
280 527 5.5703029073 4 40
281 535 5.7109444642 1 41
282 152 18.516771611 31 70
283 155 12.393865434 7 60
284 146 10.980386668 17 67
285 127 21.195746252 20 34
286 136 15.213325806 11 74
287 153 16.463835126 19 68
288 351 2.9581154358 4 58
289 344 3.8887695196 2 61
290 343 4.5212251007 2 58
291 347 4.7912509344 4 43
292 346 1.8986901578 1 69
293 333 5.5087557596 8 51
294 367 3.1738664205 2 47
295 335 2.856193029 3 61
296 458 4.5039910785 5 49
297 429 4.1381259142 4 59
298 352 3.1178551976 2 34
299 469 6.837040904 7 55
300 443 13.553612578 13 47
301 425 4.3931132253 5 49
302 474 3.2239330465 3 59
303 410 4.4764013691 3 64
304 374 4.1368752164 8 77
305 401 5.9258390531 8 76
306 66 57.424717085 64 80
307 78 37.953370378 38 76
308 89 19.938607884 19 74
309 70 24.24106951 31 90
310 92 45.370495998 35 59
311 91 24.520613063 26 61
312 75 37.210595379 47 77
313 73 12.200453941 19 85
314 77 46.604256201 55 65
315 71 18.737947007 21 66
316 542 2.2779748292 0 51
317 480 2.7289028991 3 76
318 511 4.0186671948 6 47
319 517 2.4761716108 0 53
320 479 5.0444501165 3 53
321 481 2.7132811864 1 46
322 128 35.489623173 42 47
323 133 25.500649576 26 52
324 140 18.339157197 16 34
325 519 12.284080416 6 48
326 514 7.4773558828 4 33
327 134 21.482706949 20 47
328 156 16.820487618 17 58
329 135 23.646631971 17 57
330 148 12.161174406 13 72
331 339 2.9521423393 2 50
332 356 2.6826281076 4 68
333 357 2.5410297834 3 47
334 349 8.3190703117 11 60
335 370 7.2391733167 9 53
336 337 3.0208151296 2 67
337 345 6.3124852059 8 52
338 336 2.9901480876 3 66
339 397 3.3649853888 3 75
340 467 23.109381236 14 68
341 468 5.7787379536 6 52
342 465 8.7968338848 6 68
343 472 7.0704457821 4 72
344 353 3.1944448988 5 42
345 483 7.0185751842 6 82
346 407 3.5296665698 6 65
347 381 3.185263771 3 66
348 386 1.9474138481 2 61
349 384 3.7719895179 7 81
350 378 5.5881781803 9 59
351 67 52.604180894 57 88
352 72 21.502327224 29 97
353 69 22.413672912 14 80
354 79 25.063512006 16 79
355 113 34.898197814 40 79
356 90 23.933791119 21 65
357 68 63.67320101 88 90
358 108 38.681034785 47 83
359 93 11.051663106 17 90
360 94 29.331819463 71 93
361 112 17.621028103 25 76
362 109 58.364904149 72 78
363 110 21.462502876 18 79
364 537 5.2848032891 6 54
365 525 3.9543432337 3 41
366 482 2.5633018398 2 61
367 513 4.6352361215 4 32
368 476 7.74274061 7 49
369 138 11.879483062 11 43
370 141 13.843877077 13 37
371 515 9.9446073478 9 49
372 528 7.6052312503 7 31
373 137 20.72724332 17 44
374 117 26.220033377 27 54
375 116 11.246713608 18 72
376 354 7.4038465327 9 54
377 373 5.9639964952 2 57
378 358 3.6359946828 3 67
379 334 10.20426121 7 58
380 329 93.300230225 92 62
381 341 5.8466474799 9 60
382 371 2.6888530737 1 72
383 405 2.0446603575 2 40
384 364 3.4493842643 4 73
385 470 11.057072242 9 67
386 471 5.3375325255 4 56
387 340 2.984144438 2 54
388 477 5.0598747362 3 34
389 466 24.412289161 21 59
390 394 2.0671302286 1 66
391 380 1.7817765199 2 63
392 375 4.8731901549 6 46
393 393 2.9031302558 1 69
394 388 2.555203274 3 70
395 404 1.211013115 0 63
396 80 39.638556181 29 76
397 76 24.43012276 33 75
398 115 40.701324589 47 65
399 98 59.775132921 69 75
400 119 36.480167705 42 70
401 538 4.6811713013 9 27
402 484 11.357029046 9 61
403 143 18.360045398 12 44
404 145 12.423533851 9 46
405 521 3.225492235 2 42
406 139 19.787407749 15 52
407 543 5.4213876977 7 27
408 144 16.207188542 18 28
409 114 25.079999497 24 54
410 328 184.46334391 215 67
411 363 8.1535597688 7 58
412 361 10.498562857 20 60
413 350 3.6318647242 2 61
414 395 4.259349749 4 56
415 499 6.1333333832 4 55
416 473 3.1833186006 6 66
417 330 7.5569695471 6 67
418 342 3.3557734709 2 70
419 497 7.3960622163 6 47
420 475 3.268841847 2 61
421 500 8.6957248601 4 27
422 487 3.880538846 7 59
423 502 2.3544959534 0 47
424 399 1.3571256038 1 59
425 408 3.9336405319 3 63
426 406 2.3999903347 5 63
427 398 5.0426619774 4 63
428 96 25.427122249 19 63
429 118 24.95419382 20 53
430 97 14.384465002 13 70
431 111 16.174621309 14 69
432 95 21.102364662 13 54
433 530 9.5530137701 8 34
434 503 7.4559170482 6 65
435 142 22.778369458 12 46
436 21 22.685642959 16 40
437 25 9.9105937684 7 40
438 104 13.527084454 10 57
439 107 19.543932977 13 62
440 101 31.111775864 25 42
441 359 6.391612749 6 52
442 360 5.0440426066 7 62
443 372 1.7735527253 1 59
444 488 3.6066579049 8 77
445 366 5.0883757099 4 53
446 490 2.7985075523 2 66
447 491 3.242396522 1 55
448 495 7.2982691096 5 61
449 504 3.3426715993 5 50
450 492 6.1742897421 8 69
451 57 10.814402777 4 48
452 392 2.5644638737 3 52
453 389 5.2892008749 8 69
454 400 2.6507223314 2 53
455 376 17.366364909 16 59
456 99 32.422287078 23 54
457 102 26.780927824 19 47
458 100 21.455678979 20 53
459 50 15.211809209 20 52
460 22 17.662705275 14 46
461 27 11.828191187 14 55
462 24 15.866814373 17 46
463 18 11.164103181 7 63
464 33 8.8909874485 8 54
465 103 23.692642222 19 57
466 105 33.340220214 25 40
467 355 2.7623858877 2 52
468 365 2.4824611985 5 58
469 501 7.7945906794 4 72
470 493 3.6905279028 4 52
471 23 10.439756603 11 64
472 17 25.45250024 26 56
473 19 12.267689048 7 41
474 489 7.608784579 8 48
475 494 6.7638376276 5 58
476 55 19.744886325 19 62
477 48 4.8321993455 8 58
478 53 15.325269411 18 49
479 396 2.9726553289 2 62
480 377 8.3772763357 5 57
481 403 1.7748746643 2 78
482 383 1.4028967549 0 62
483 382 3.7021342993 1 58
484 379 4.5907763927 3 63
485 60 27.030741166 20 49
486 32 28.563816545 26 50
487 26 11.967625084 13 61
488 30 17.022285104 24 49
489 28 52.01196117 74 50
490 106 29.458033879 41 53
491 35 16.051760481 22 48
492 362 6.2788245072 2 48
493 496 6.1372922972 2 56
494 20 12.458619781 11 52
495 498 3.6405773717 1 33
496 61 7.8457369214 8 50
497 54 9.3406424772 10 61
498 58 13.013170418 11 57
499 63 4.9013332971 6 39
500 51 9.1264124324 11 64
501 391 4.7569327674 8 59
502 402 2.6374755459 6 75
503 409 2.3879504015 3 57
504 29 18.74909868 20 60
505 31 53.538631538 55 57
506 34 11.51163661 18 50
507 36 16.826962803 25 55
508 39 5.5650800202 5 49
509 45 10.117130333 6 55
510 59 9.2977911096 5 42
511 52 8.6983239637 7 46
512 56 9.0891608379 5 50
513 47 6.7977287368 4 57
514 49 12.885031176 10 47
515 64 54.880400162 63 62
516 390 5.6393453657 4 60
517 385 1.2163166482 0 72
518 387 3.2914555251 2 63
519 46 10.81164987 9 49
520 43 12.386572691 16 57
521 40 13.04766805 12 50
522 62 8.8657648972 9 61
523 41 9.0669224565 7 52
524 65 13.310586417 12 67
525 6 15.898848048 9 51
526 3 22.094716036 19 50
527 42 13.337657004 8 62
528 38 19.010040762 20 45
529 37 19.930998206 22 52
530 16 165.57891707 119 67
531 15 19.127164535 17 30
532 8 19.851889969 18 41
533 44 15.507965206 14 57
534 9 25.416331246 22 50
535 13 19.515533897 17 49
536 10 11.672852059 5 45
537 4 7.9193520491 3 63
538 2 22.836218651 22 65
539 14 12.558348212 11 55
540 11 23.564171755 13 53
541 5 13.139889126 14 65
542 7 14.820838634 10 50
543 12 16.907836042 10 50
544 1 7.9650079245 8 56
